label_uri,literal,lang,query_terms,aat,wikidata,pwn,odwn,nmvw
l_76,Medicine Man,en,medicine man_medicine men,300218522,Q266750,None,None,None
l_54,mestizo,en,mestizo_mestizoes_mestizos,None,Q106713,mestizo.n.01,None,None
l_117,Métis,en,métis_metis,300265512,Q262457,None,None,None
l_79,Mohammedan,en,mohammedan_mohammedans,300073715,Q2367463,mohammedan.n.01_muhammadan.a.01,None,None
l_81,Mongoloid,en,mongoloid_mongoloids,None,Q207912,mongoloid.n.01_mongoloid.n.02_mongoloid.a.01_mongoloid.a.02_mongoloid.a.03,None,None
l_82,Moor,en,moor_moors,300375152,Q169260,moor.n.01,None,None
l_83,Mulatto,en,mulatto_mulattoes_mulattos,None,Q191923,mulatto.n.01,None,None
l_84,Native,en,native_natives,300017437,None,native.n.01_native.n.02_native.a.01_native.a.03,None,None
l_85,Negro,en,negro_negroes_negros,300018125,Q1130557,black.n.05_colored.s.02,None,None
l_86,Oriental,en,oriental_orientals,300018279,None,oriental.s.01,None,None
l_98,Page,en,page_pages,None,Q855855,page.n.04_page.n.05,None,None
l_90,Primitive,en,primitive_primitives,300056500,Q13165863,primitive.n.01_crude.s.04_primitive.s.03_primitive.s.04,None,None
l_91,Primitivism,en,primitivism,300056548,Q848365,crudeness.n.01_primitivism.n.02,None,None
l_92,Pygmy,en,pygmy_pygmys,300016430,Q171927,pygmy.n.01_pygmy.n.02,None,None
l_93,Queer,en,queer_queerest_queerer_queers,300055188,Q51415,fagot.n.01_gay.s.06,None,None
l_95,Race,en,race_races,300256475,Q3254959,race.n.03,None,None
l_68,retarded,en,retarded,300025925,Q18394147,mentally_retarded.n.01_retarded.a.01,None,None
l_96,Roots,en,roots,None,None,ancestor.n.01,None,None
l_106,Second World,en,second world,None,Q233472,None,None,None
l_97,Servant,en,servant_servants,300025874,Q54128,servant.n.01,None,None
l_101,Slave,en,slave_slaves,300230899,Q12773225,slave.n.01,None,None
l_23,Southern Rhodesia,en,southern rhodesia,None,Q750583,None,None,None
l_104,Third World,en,third world,300379994,Q180194,None,None,None
l_109,Traditional,en,traditional_traditionals,300435679,None,traditional.a.01,None,None
l_111,Trans,en,trans_transs,None,Q189125,None,None,None
l_112,transvestite,en,transvestite_transvestites,300400510,Q112918934,transvestite.n.01_transvestic.a.01,None,None
l_114,Tribe,en,tribe_tribes,300049946,Q133311,tribe.n.01_tribe.n.02_kin.n.02,None,None
l_115,Western,en,western_westerns,None,Q160381,western.a.01,None,None
l_16,White,en,white_whiter_whitest_whites,None,Q235155,white.n.01_white.a.02_white.s.05,None,None
l_142,Aboriginal,nl,aboriginal_aboriginals,300021862,Q170355,None,aboriginal-n-1,10076668
l_259,achterlijk,nl,achterlijk_achterlijkst_achterlijkere_achterlijker_achterlijke_achterlijks_achterlijkste_achterlijkheid_achterlijken,300025925,None,None,achterlijkheid-n-1,None
l_149,Afkomst,nl,afkomst_afkomsten,None,Q1642895,None,afkomst-n-1_afkomst-n-2,None
l_150,Allochtoon,nl,allochtoon_allochtonen_allochtoons_allochtoonste_allochtoonst_allochtoner_allochtonere_allochtone,None,Q2008347,None,allochtoon-n-1,None
l_157,baboe,nl,baboe_baboes,None,Q936969,None,baboe-n-1,None
l_153,Barbaar,nl,barbaar_barbaren,None,Q134313,None,barbaar-n-1_barbaar-n-3_barbaar-n-4,None
l_167,Batavia,nl,batavia,None,Q1199713,None,None,10063182
l_154,Bediende,nl,bediende_bediendes_bediend_bedienden,300025874,Q833860,None,bediende-n-2,None
l_158,Berber,nl,berber_berbers,300016593,Q45315,None,Berber-n-2,10078557
l_168,Birma,nl,birma,None,Q836,None,Birma-n-1,10063469
l_161,Blank,nl,blank_blankere_blanker_blanke_blanks_blankste_blankst_blanken,None,Q235155,None,blanke-n-1,None
l_163,Bombay,nl,bombay,None,Q1156,None,Bombay-n-1,10063974
l_173,Boslandcreool,nl,boslandcreool_boslandcreolen,None,Q445485,None,None,10076611
l_170,Bosneger,nl,bosneger_bosnegers,None,Q445485,None,bosneger-n-1,10076611
l_165,Calcutta,nl,calcutta,None,Q1348,None,Calcutta-n-1,10063844
l_174,Derde Wereld,nl,derde wereld,None,Q180194,None,None,None
l_179,Dwerg,nl,dwerg_dwergen,300236748,Q2419953,None,dwerg-n-1,None
l_175,Eerste Wereld,nl,eerste wereld,None,Q876830,None,None,None
l_185,Eskimo,nl,eskimo_eskimo's,300017447,Q131242,None,Eskimo-n-1,10075943
l_193,Etniciteit,nl,etniciteit_etniciteiten,300250435,Q5404323,None,etniciteit-n-1,None
l_194,etnische groep,nl,etnische groep_etnische groepen,300191997,Q41710,None,None,None
l_196,Exotisch,nl,exotisch_exotischere_exotischer_exotische,None,None,None,None,None
l_197,Gay,nl,gay_gayer_gayst_gaye_gayste_gays,None,Q592,None,gay-n-1,None
l_211,gehandicapten,nl,gehandicapte_gehandicapten,300025921,Q15978181,None,gehandicapte-n-1,None
l_198,Gekleurd,nl,gekleurd_gekleurdste_gekleurdst_gekleurds_gekleurde_gekleurdere_gekleurder,None,Q2072081,None,None,None
l_204,Halfbloed,nl,halfbloed_halfbloeden,None,None,None,halfbloed-n-1,None
l_210,Handicap,nl,handicap_handicaps,None,Q12131,None,handicap-n-1,None
l_213,Hermafrodiet,nl,hermafrodiet_hermafrodieten,300386060,Q303479,None,hermafrodiet-n-1,None
l_217,Homo,nl,homohomo's,None,Q104969456,None,homo-n-1,None
l_219,Homoseksualiteit,nl,homoseksualiteit,300055188,Q6636,None,homoseksualiteit-n-2_homoseksualiteit-n-3,None
l_218,Homoseksueel,nl,homoseksueel_homoseksueler_homoseksueelste_homoseksuelere_homoseksueelst_homoseksueels_homoseksuelen_homoseksuele,None,Q592,None,homoseksueel-n-1,None
l_224,Hottentot,nl,hottentot_hottentotten,None,Q219252,None,Hottentot-n-1,10078204
l_226,Inboorling,nl,inboorling_inboorlingen,None,None,None,inboorling-n-1,None
l_228,Indiaan,nl,indiaan_indianen_indiaans,300017437,Q36747,None,Indiaan-n-1,None
l_229,Indisch,nl,indisch_indischer_indische_indischere,300418042,Q188161,None,None,10077429
l_230,Indo,nl,indoindo's,300386794,Q2116909,None,None,None
l_232,Inheems,nl,inheems_inheemst_inheemse_inheemsere_inheemste_inheemser,300379660,Q103817,None,None,10075993
l_227,Inlander,nl,inlander_inlanders,None,Q1945590,None,inlander-n-1,None
l_287,Inuit,nl,inuk_inuit,300017455,Q189975,None,Inuit-n-1,10075943
l_234,Islamiet,nl,islamiet_islamieten,None,Q47740,None,islamiet-n-1,None
l_237,Jap,nl,jap_jappen_japs,None,Q1192767,None,Jap-n-1,None
l_238,Jappenkamp,nl,jappenkamp_jappenkampen,None,Q2432369,None,jappenkamp-n-1,None
l_236,Jappenkampen,nl,jappenkamp_jappenkampen,None,Q2432369,None,jappenkamp-n-1,None
l_244,Kaffer,nl,kaffer_kaffers,None,Q1285250,None,kaffer-n-2,None
l_245,Kaukasisch,nl,kaukasisch_kaukasische_kaukasischere_kaukasischer,300244536,Q7129609,None,Kaukasische-n-1,None
l_156,knecht,nl,knecht_knechten_knechts,None,None,None,knecht-n-1,None
l_246,Koelie,nl,koelie_koelies,None,Q548135,None,koelie-n-1_koelie-n-2,None
l_247,Koppensneller,nl,koppensneller_koppensnellers,None,None,None,koppensneller-n-3,None
l_178,lagelonenlanden,nl,lagelonenland_lagelonenlanden,None,Q2639564,None,None,None
l_180,lilliputter,nl,lilliputter_lilliputters,None,Q2419953,None,lilliputter-n-1,None
l_166,Madras,nl,madras,None,Q1352,None,Madras-n-1,10063793
l_172,Marron,nl,marron_marrons,None,Q445485,None,None,10076611
l_253,Medicijnman,nl,medicijnman_medicijnmannen,None,Q42042,None,medicijnman-n-1,None
l_209,mesties,nl,mesties_mestiezen,None,Q106713,None,mesties-n-1,None
l_288,Métis,nl,métis_metis,300265512,Q262457,None,None,None
l_256,Mohammedaan,nl,mohammedaan_mohammedanen,None,Q47740,None,mohammedaan-n-1,None
l_258,Mongool,nl,mongool_mongolen_mongools,300387497,Q207912,None,mongool-n-1_mongool-n-2,None
l_261,Moor,nl,moor_moren_moors,300021016,Q169260,None,moor-n-1_Moor-n-2,10078542
l_208,Mulat,nl,mulat_mulatten,None,Q191923,None,mulat-n-1,None
l_171,Neger,nl,neger_negers,None,Q1130557,None,neger-n-1,None
l_262,Ontdekken,nl,ontdekken,None,None,None,ontdekken-v-4,None
l_177,ontwikkelingslanden,nl,ontwikkelingsland_ontwikkelingslanden,300379994,Q177323,None,ontwikkelingsland-n-1,None
l_263,Oriëntaals,nl,oriëntaals_oriëntaalste_oriëntaalsere_oriëntaal_oriëntale_oriëntalere_oriëntaalse_oriëntaalst_oriëntaler_oriëntaalser,None,None,None,None,None
l_155,page,nl,page_pages,None,Q855855,None,page-n-1,None
l_265,Politionele actie,nl,politionele actie_politionele acties,None,Q278039,None,None,None
l_267,Primitief,nl,primitief_primitiefst_primitievere_primitiefste_primitiefs_primitieve_primitiever,None,None,None,primitief-n-1,None
l_268,Primitivisme,nl,primitivisme_primitivismen,300056548,Q848365,None,None,None
l_269,Pygmee,nl,pygmee_pygmeeën,300016430,Q171927,None,pygmee-n-1,10078766
l_270,Queer,nl,queer,None,Q51415,None,None,None
l_195,Ras,nl,ras_rasser_raste_rasse_rassere_rast_rassen,300256475,Q3254959,None,None,None
l_272,Roots,nl,roots,None,None,None,None,None
l_273,Slaaf,nl,slaaf_slaven,300230899,Q12773225,None,slaaf-n-1,20404
l_276,Stam,nl,stam_stammen,300049946,Q133311,None,stam-n-2,None
l_277,Traditioneel,nl,traditioneel_traditioneels_traditionele_traditioneelste_traditioneelst_traditionelere_traditioneler,None,None,None,None,None
l_279,Trans,nl,trans_transen,None,None,None,trans-n-3,None
l_280,travestiet,nl,travestiet_travestieten,None,Q486680,None,travestiet-n-1,None
l_176,Tweede Wereld,nl,tweede wereld,None,Q233472,None,None,None
l_207,volbloed,nl,volbloed_volbloeden,None,None,None,None,None
l_282,Westers,nl,westers_wester_westerse_westersere_westerste_westerst_westerser,None,Q160381,None,None,None
l_200,Wit,nl,wit_witten_wittere_witst_witte_witter_wits_witste,None,Q235155,None,None,None
l_283,Zigeuner,nl,zigeuner_zigeuners,300404070,Q76475,None,zigeuner-n-1,10075876
l_169,Zuid­-Rhodesië,nl,zuid-rhodesië,None,Q750583,None,None,None
l_199,Zwart,nl,zwart_zwarten_zwartst_zwarter_zwarts_zwarte_zwartere_zwartste,None,Q817393,None,zwarte-n-1_zwarte-n-3,None
